name,whitelist,count
SRR8698013_2,arc,164
SRR8698013_2,v1,554
SRR8698013_2,v2,175724
SRR8698013_2,v3,18024
SRR8698013_3,arc,29
SRR8698013_3,v1,394
SRR8698013_3,v2,34
SRR8698013_3,v3,253
SRR8698014_1,arc,0
SRR8698014_1,v1,0
SRR8698014_1,v2,0
SRR8698014_1,v3,0
SRR8698014_2,arc,163
SRR8698014_2,v1,574
SRR8698014_2,v2,187420
SRR8698014_2,v3,19398
SRR8698014_3,arc,29
SRR8698014_3,v1,404
SRR8698014_3,v2,24
SRR8698014_3,v3,220
SRR8698015_1,arc,0
SRR8698015_1,v1,0
SRR8698015_1,v2,0
SRR8698015_1,v3,0
SRR8698015_2,arc,187
SRR8698015_2,v1,579
SRR8698015_2,v2,184664
SRR8698015_2,v3,19115
SRR8698015_3,arc,21
SRR8698015_3,v1,407
SRR8698015_3,v2,36
SRR8698015_3,v3,219
SRR10914868_1,arc,0
SRR10914868_1,v1,0
SRR10914868_1,v2,0
SRR10914868_1,v3,0
SRR10914868_2,arc,191
SRR10914868_2,v1,625
SRR10914868_2,v2,2818
SRR10914868_2,v3,193375
SRR10914868_3,arc,44
SRR10914868_3,v1,518
SRR10914868_3,v2,33
SRR10914868_3,v3,349
SRR8734990_1,arc,213
SRR8734990_1,v1,509
SRR8734990_1,v2,189667
SRR8734990_1,v3,20296
SRR8734990_2,arc,39
SRR8734990_2,v1,521
SRR8734990_2,v2,86
SRR8734990_2,v3,267
SRR8734990_3,arc,0
SRR8734990_3,v1,0
SRR8734990_3,v2,0
SRR8734990_3,v3,0
SRR8734991_1,arc,323
SRR8734991_1,v1,423
SRR8734991_1,v2,189424
SRR8734991_1,v3,18864
SRR8734991_2,arc,51
SRR8734991_2,v1,494
SRR8734991_2,v2,71
SRR8734991_2,v3,237
SRR8734991_3,arc,0
SRR8734991_3,v1,0
SRR8734991_3,v2,0
SRR8734991_3,v3,0
SRR8832578_1,arc,0
SRR8832578_1,v1,0
SRR8832578_1,v2,0
SRR8832578_1,v3,0
SRR8832578_2,arc,274
SRR8832578_2,v1,275
SRR8832578_2,v2,192156
SRR8832578_2,v3,21977
SRR8832578_3,arc,47
SRR8832578_3,v1,588
SRR8832578_3,v2,32
SRR8832578_3,v3,327
SRR8832579_1,arc,0
SRR8832579_1,v1,0
SRR8832579_1,v2,0
SRR8832579_1,v3,0
SRR8832579_2,arc,75
SRR8832579_2,v1,213
SRR8832579_2,v2,188697
SRR8832579_2,v3,21367
SRR8832579_3,arc,16
SRR8832579_3,v1,598
SRR8832579_3,v2,28
SRR8832579_3,v3,269
SRR9054417_1,arc,118
SRR9054417_1,v1,537
SRR9054417_1,v2,193509
SRR9054417_1,v3,18731
SRR9054417_2,arc,33
SRR9054417_2,v1,594
SRR9054417_2,v2,70
